ID,Spp,ScientificName,Region,month,Eff_mean,Eff_sd,Ov_mean,Ov_sd
S58,PGL,Prionace glauca,ATL_N,2,0.000104759,5.70E-05,100,NA
S59,PGL,Prionace glauca,ATL_N,1,0.000362005,0.000182284,100,NA
S59,PGL,Prionace glauca,ATL_N,2,0.000265512,0.000250586,100,NA
S59,PGL,Prionace glauca,ATL_N,3,1.37E-05,3.35E-05,16.66666667,NA
S59,PGL,Prionace glauca,ATL_N,4,0.000104572,0.00013491,60,NA
S59,PGL,Prionace glauca,ATL_N,5,4.65E-05,6.18E-05,100,NA
S60,PGL,Prionace glauca,ATL_N,1,0.000324587,0.000250198,100,NA
S60,PGL,Prionace glauca,ATL_N,2,0.000153549,9.76E-05,100,NA
S60,PGL,Prionace glauca,ATL_N,3,0.000509666,0.000942434,85.71428571,NA
S60,PGL,Prionace glauca,ATL_N,4,0.000653157,0.000865198,100,NA
S61,PGL,Prionace glauca,ATL_N,1,0.000574878,0.000479498,100,NA
S61,PGL,Prionace glauca,ATL_N,2,0.000121501,6.76E-05,100,NA
S61,PGL,Prionace glauca,ATL_N,3,6.78E-05,0.000144554,20,NA
S61,PGL,Prionace glauca,ATL_N,4,0.00023044,0.000227779,58.33333333,NA
S61,PGL,Prionace glauca,ATL_N,5,0.000495633,0.000353565,100,NA
S62,PGL,Prionace glauca,ATL_N,1,0.000462668,0.000542613,100,NA
S62,PGL,Prionace glauca,ATL_N,2,9.66E-05,9.54E-05,75,NA
S62,PGL,Prionace glauca,ATL_N,3,4.60E-05,0.000102496,25,NA
S62,PGL,Prionace glauca,ATL_N,4,0.000730439,0.000354982,100,NA
S62,PGL,Prionace glauca,ATL_N,5,0.000316465,0.000218265,100,NA
S62,PGL,Prionace glauca,ATL_N,6,0.000969095,0.000466727,100,NA
S62,PGL,Prionace glauca,ATL_N,7,0.001481338,0.000893064,100,NA
S63,PGL,Prionace glauca,ATL_N,1,0.000416336,0.000368415,100,NA
S63,PGL,Prionace glauca,ATL_N,2,2.50E-05,5.07E-05,27.27272727,NA
S63,PGL,Prionace glauca,ATL_N,3,4.06E-05,7.15E-05,35.71428571,NA
S63,PGL,Prionace glauca,ATL_N,4,0.000102824,0.000121003,80,NA
S63,PGL,Prionace glauca,ATL_N,5,0.00014255,0.000137788,100,NA
S64,PGL,Prionace glauca,ATL_N,1,0.000404503,0.000200385,100,NA
S64,PGL,Prionace glauca,ATL_N,2,2.89E-05,5.33E-05,26.66666667,NA
S64,PGL,Prionace glauca,ATL_N,3,0,0,0,NA
S65,PGL,Prionace glauca,ATL_N,1,0.001277246,NA,100,NA
S65,PGL,Prionace glauca,ATL_N,2,0.000155387,6.38E-05,100,NA
S66,PGL,Prionace glauca,ATL_N,1,0.000642587,0.000292263,100,NA
S66,PGL,Prionace glauca,ATL_N,2,0.000489267,0.00042107,100,NA
S66,PGL,Prionace glauca,ATL_N,3,0.000351918,0.000380795,66.66666667,NA
S66,PGL,Prionace glauca,ATL_N,4,8.70E-05,0.000169799,50,NA
S66,PGL,Prionace glauca,ATL_N,5,4.76E-07,1.78E-06,7.142857143,NA
S67,PGL,Prionace glauca,ATL_N,1,0.000165855,0.0001131,100,NA
S67,PGL,Prionace glauca,ATL_N,2,6.04E-05,5.13E-05,71.42857143,NA
S67,PGL,Prionace glauca,ATL_N,3,0,0,0,NA
S67,PGL,Prionace glauca,ATL_N,4,6.16E-05,8.54E-05,42.85714286,NA
S67,PGL,Prionace glauca,ATL_N,5,0.000100606,0.000146091,60,NA
S68,PGL,Prionace glauca,ATL_N,10,0.000201068,7.15E-05,100,NA
S68,PGL,Prionace glauca,ATL_N,8,0.000121097,NA,100,NA
S68,PGL,Prionace glauca,ATL_N,9,0.000260691,0.000271066,100,NA
S69,PGL,Prionace glauca,ATL_N,10,0.000402187,0.000270181,100,NA
S69,PGL,Prionace glauca,ATL_N,11,0.000101884,2.42E-06,100,NA
S69,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S69,PGL,Prionace glauca,ATL_N,9,0.000145086,0.000220658,87.5,NA
S70,PGL,Prionace glauca,ATL_N,6,0.000231257,0.000222374,100,NA
S70,PGL,Prionace glauca,ATL_N,7,0.000175082,2.57E-05,100,NA
S70,PGL,Prionace glauca,ATL_N,8,1.19E-05,2.55E-05,25,NA
S70,PGL,Prionace glauca,ATL_N,9,0.000329965,0.000441832,75,NA
S71,PGL,Prionace glauca,ATL_N,10,3.74E-05,6.98E-05,33.33333333,NA
S71,PGL,Prionace glauca,ATL_N,11,0,0,0,NA
S71,PGL,Prionace glauca,ATL_N,6,3.66E-05,7.74E-05,30,NA
S71,PGL,Prionace glauca,ATL_N,7,1.27E-05,1.61E-05,70,NA
S71,PGL,Prionace glauca,ATL_N,8,0.000576597,0.00107674,71.42857143,NA
S71,PGL,Prionace glauca,ATL_N,9,0.000513718,0.000483282,80,NA
S72,PGL,Prionace glauca,ATL_N,7,0,0,0,NA
S72,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S73,PGL,Prionace glauca,ATL_N,6,0.000185656,0.000300134,60,NA
S73,PGL,Prionace glauca,ATL_N,7,0,NA,0,NA
S73,PGL,Prionace glauca,ATL_N,9,5.97E-05,0.000108379,55.55555556,NA
S74,PGL,Prionace glauca,ATL_N,10,0.001130308,0.000617568,100,NA
S74,PGL,Prionace glauca,ATL_N,11,0.001478687,0.001537227,100,NA
S74,PGL,Prionace glauca,ATL_N,12,0.000553412,0.000402357,100,NA
S75,PGL,Prionace glauca,ATL_N,6,1.85E-05,2.36E-05,42.85714286,NA
S75,PGL,Prionace glauca,ATL_N,7,0,0,0,NA
S75,PGL,Prionace glauca,ATL_N,8,0.000209219,0.00026603,100,NA
S76,PGL,Prionace glauca,ATL_N,8,4.45E-05,8.02E-05,54.54545455,NA
S76,PGL,Prionace glauca,ATL_N,9,4.12E-05,6.23E-05,57.14285714,NA
S77,PGL,Prionace glauca,ATL_N,10,0.000655262,0.001071348,60,NA
S77,PGL,Prionace glauca,ATL_N,11,0,0,0,NA
S77,PGL,Prionace glauca,ATL_N,12,8.35E-05,8.36E-05,100,NA
S78,PGL,Prionace glauca,ATL_N,7,5.69E-06,1.37E-05,28.57142857,NA
S78,PGL,Prionace glauca,ATL_N,8,0.000274205,0.000305116,100,NA
S78,PGL,Prionace glauca,ATL_N,9,0.000635618,0.001068383,75,NA
S79,PGL,Prionace glauca,ATL_N,10,0.000762587,NA,100,NA
S79,PGL,Prionace glauca,ATL_N,8,0.000101747,0.000198108,60,NA
S80,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S81,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S81,PGL,Prionace glauca,ATL_N,9,0,NA,0,NA
S82,PGL,Prionace glauca,ATL_N,8,0,NA,0,NA
S82,PGL,Prionace glauca,ATL_N,9,1.63E-05,4.32E-05,14.28571429,NA
S83,PGL,Prionace glauca,ATL_N,6,0.00133175,NA,100,NA
S84,PGL,Prionace glauca,ATL_N,6,2.28E-05,4.92E-05,21.42857143,NA
S84,PGL,Prionace glauca,ATL_N,7,6.39E-05,0.000142393,28.57142857,NA
S84,PGL,Prionace glauca,ATL_N,8,9.79E-06,3.13E-05,17.64705882,NA
S84,PGL,Prionace glauca,ATL_N,9,9.41E-05,0.000162928,33.33333333,NA
S85,PGL,Prionace glauca,ATL_N,10,0.00141157,0.001287822,100,NA
S85,PGL,Prionace glauca,ATL_N,11,0.000584315,NA,100,NA
S86,PGL,Prionace glauca,ATL_N,6,0.000125014,7.85E-05,88.88888889,NA
S86,PGL,Prionace glauca,ATL_N,7,0.000308987,0.000273006,100,NA
S86,PGL,Prionace glauca,ATL_N,8,0.000899831,0.001272464,87.5,NA
S87,PGL,Prionace glauca,ATL_N,10,0.000703844,0.000191245,100,NA
S87,PGL,Prionace glauca,ATL_N,6,0.000305236,0.000345351,100,NA
S87,PGL,Prionace glauca,ATL_N,7,0.000194434,NA,100,NA
S87,PGL,Prionace glauca,ATL_N,8,0.002588595,NA,100,NA
S87,PGL,Prionace glauca,ATL_N,9,0.001484893,0.000668584,100,NA
S88,PGL,Prionace glauca,ATL_N,5,0.00016618,0.000223858,100,NA
S88,PGL,Prionace glauca,ATL_N,6,1.97E-05,4.83E-05,16.66666667,NA
S89,PGL,Prionace glauca,ATL_N,8,2.36E-05,9.40E-06,100,NA
S89,PGL,Prionace glauca,ATL_N,9,0.000333275,0.000355675,100,NA
S90,PGL,Prionace glauca,ATL_N,10,8.08E-05,7.22E-05,100,NA
S90,PGL,Prionace glauca,ATL_N,9,0.000352999,0.000322096,100,NA
S91,PGL,Prionace glauca,ATL_N,10,0.000656101,0.000300717,100,NA
S91,PGL,Prionace glauca,ATL_N,11,0.000708961,0.001034904,88.88888889,NA
S91,PGL,Prionace glauca,ATL_N,12,0.002056237,0.002003434,100,NA
S91,PGL,Prionace glauca,ATL_N,8,0.000203872,0.000234714,100,NA
S91,PGL,Prionace glauca,ATL_N,9,0.000361131,0.00024138,100,NA
S92,PGL,Prionace glauca,ATL_N,10,0.000291101,0.000279195,66.66666667,NA
S92,PGL,Prionace glauca,ATL_N,11,0.000288226,0.00030591,90,NA
S92,PGL,Prionace glauca,ATL_N,12,1.13E-05,2.85E-05,22.22222222,NA
S92,PGL,Prionace glauca,ATL_N,8,9.43E-05,3.52E-06,100,NA
S92,PGL,Prionace glauca,ATL_N,9,0.000165305,0.000168248,83.33333333,NA
S93,PGL,Prionace glauca,ATL_N,10,0,0,0,NA
S93,PGL,Prionace glauca,ATL_N,11,0,NA,0,NA
S93,PGL,Prionace glauca,ATL_N,12,0,0,0,NA
S93,PGL,Prionace glauca,ATL_N,8,4.96E-05,3.53E-05,100,NA
S93,PGL,Prionace glauca,ATL_N,9,2.89E-05,4.01E-05,40,NA
S94,PGL,Prionace glauca,ATL_N,10,0.000330397,0.000236775,100,NA
S94,PGL,Prionace glauca,ATL_N,11,5.37E-06,1.20E-05,20,NA
S94,PGL,Prionace glauca,ATL_N,12,9.88E-05,0.000153277,60,NA
S94,PGL,Prionace glauca,ATL_N,8,0.000253793,NA,100,NA
S94,PGL,Prionace glauca,ATL_N,9,0.000208667,0.000174496,100,NA
S95,PGL,Prionace glauca,ATL_N,6,0.003010264,NA,100,NA
S95,PGL,Prionace glauca,ATL_N,7,0.000619191,0.000553356,100,NA
S95,PGL,Prionace glauca,ATL_N,8,0.000577974,0.000558746,100,NA
S95,PGL,Prionace glauca,ATL_N,9,5.39E-05,7.38E-05,40,NA
S96,PGL,Prionace glauca,ATL_N,6,0.000737606,8.88E-05,100,NA
S96,PGL,Prionace glauca,ATL_N,7,0.000134151,0.000138286,83.33333333,NA
S96,PGL,Prionace glauca,ATL_N,8,0.000516486,0.000395232,100,NA
S96,PGL,Prionace glauca,ATL_N,9,0.00027788,0.000336691,80,NA
S97,PGL,Prionace glauca,ATL_N,5,0.000390718,NA,100,NA
S97,PGL,Prionace glauca,ATL_N,6,0.000426245,NA,100,NA
S97,PGL,Prionace glauca,ATL_N,7,0.000836888,NA,100,NA
S97,PGL,Prionace glauca,ATL_N,8,0.003004943,NA,100,NA
S97,PGL,Prionace glauca,ATL_N,9,0.000970625,0.000111573,100,NA
S98,PGL,Prionace glauca,ATL_N,10,0.000191386,0.000194381,72.72727273,NA
S98,PGL,Prionace glauca,ATL_N,11,3.98E-05,4.50E-05,57.14285714,NA
S98,PGL,Prionace glauca,ATL_N,8,9.12E-05,6.14E-05,100,NA
S98,PGL,Prionace glauca,ATL_N,9,0.000163055,0.000149455,90,NA
S99,PGL,Prionace glauca,ATL_N,10,0.001417383,0.000650554,100,NA
S99,PGL,Prionace glauca,ATL_N,11,0.001676317,0.000967028,100,NA
S99,PGL,Prionace glauca,ATL_N,12,0.000530485,0.000340754,100,NA
S99,PGL,Prionace glauca,ATL_N,8,0.000253793,NA,100,NA
S99,PGL,Prionace glauca,ATL_N,9,0.001202081,0.001300843,100,NA
S100,PGL,Prionace glauca,ATL_N,10,7.08E-05,0.000149037,27.27272727,NA
S100,PGL,Prionace glauca,ATL_N,6,0.00035165,1.37E-05,100,NA
S100,PGL,Prionace glauca,ATL_N,7,5.70E-05,9.87E-05,63.63636364,NA
S100,PGL,Prionace glauca,ATL_N,8,0,0,0,NA
S100,PGL,Prionace glauca,ATL_N,9,0,0,0,NA
S101,PGL,Prionace glauca,ATL_N,10,0.000399548,0.000459805,66.66666667,NA
S101,PGL,Prionace glauca,ATL_N,11,0.000126026,0.000114846,80,NA
S101,PGL,Prionace glauca,ATL_N,12,0.000571154,0.000275468,100,NA
S101,PGL,Prionace glauca,ATL_N,6,0.000304179,NA,100,NA
S101,PGL,Prionace glauca,ATL_N,7,0.000501909,0.00050179,100,NA
S101,PGL,Prionace glauca,ATL_N,8,0.001334903,0.001498963,100,NA
S101,PGL,Prionace glauca,ATL_N,9,0.000301953,0.00021491,100,NA
S102,PGL,Prionace glauca,ATL_N,10,0.000248178,0.00029054,85.71428571,NA
S102,PGL,Prionace glauca,ATL_N,6,0.0025614,NA,100,NA
S102,PGL,Prionace glauca,ATL_N,7,0.000916529,0.000404984,100,NA
S102,PGL,Prionace glauca,ATL_N,8,0.001665168,0.002057151,100,NA
S102,PGL,Prionace glauca,ATL_N,9,0.000506015,0.000492363,100,NA
S103,PGL,Prionace glauca,ATL_N,10,0,0,0,NA
S103,PGL,Prionace glauca,ATL_N,6,0.001614672,0.001113416,100,NA
S103,PGL,Prionace glauca,ATL_N,7,0.000817411,0.000805091,100,NA
S103,PGL,Prionace glauca,ATL_N,8,0.000578702,0.000542628,100,NA
S103,PGL,Prionace glauca,ATL_N,9,1.48E-05,4.43E-05,11.11111111,NA
S104,PGL,Prionace glauca,ATL_N,10,9.15E-05,0.000248786,27.27272727,NA
S104,PGL,Prionace glauca,ATL_N,11,0.000151432,0.00019115,50,NA
S104,PGL,Prionace glauca,ATL_N,12,0,0,0,NA
S104,PGL,Prionace glauca,ATL_N,6,0.001608074,0.001122747,100,NA
S104,PGL,Prionace glauca,ATL_N,7,0.000283388,0.00077679,66.66666667,NA
S104,PGL,Prionace glauca,ATL_N,8,0.000200353,0.000159888,100,NA
S104,PGL,Prionace glauca,ATL_N,9,0,NA,0,NA
S105,PGL,Prionace glauca,ATL_N,1,0.000561096,0.000714795,60,NA
S105,PGL,Prionace glauca,ATL_N,10,7.78E-05,8.41E-05,86.66666667,NA
S105,PGL,Prionace glauca,ATL_N,11,0.000150869,0.000134527,78.57142857,NA
