ID,Spp,ScientificName,Region,Eff_mean,Eff_sd,Ov_mean,Ov_sd
S39,PGL,Prionace glauca,ATL_N,0.000220126,0.0005439,40.08680556,37.44301832
S40,PGL,Prionace glauca,ATL_N,0.000109948,0.000108954,96.42857143,5.050762723
S41,PGL,Prionace glauca,ATL_N,0.000224144,0.000234319,94.44444444,11.11111111
S42,PGL,Prionace glauca,ATL_N,0.000174939,0.000143285,100,NA
S43,PGL,Prionace glauca,ATL_N,0.000182977,0.000294052,34.61538462,48.95354639
S44,PGL,Prionace glauca,ATL_N,4.48E-05,1.87E-05,100,NA
S45,PGL,Prionace glauca,ATL_N,0.00023795,0.000251954,100,NA
S46,PGL,Prionace glauca,ATL_N,0.000154848,0.000140445,100,0
S47,PGL,Prionace glauca,ATL_N,0.000560176,0.000442532,100,NA
S48,PGL,Prionace glauca,ATL_N,8.72E-05,0.000221576,38.63636364,46.96358709
S49,PGL,Prionace glauca,ATL_N,0.000187133,0.000335729,78.57142857,30.30457634
S50,PGL,Prionace glauca,ATL_N,0.000230259,0.000398891,77.27272727,32.14121733
S51,PGL,Prionace glauca,ATL_N,0.000820734,0.000370782,100,0
S52,PGL,Prionace glauca,ATL_N,9.87E-05,0.000175748,68.18181818,44.99770426
S53,PGL,Prionace glauca,ATL_N,4.64E-05,4.51E-05,100,0
S54,PGL,Prionace glauca,ATL_N,0.000301748,0.000398272,87.27272727,11.05956824
S55,PGL,Prionace glauca,ATL_N,0.000176146,0.000273919,92.85714286,10.10152545
S56,PGL,Prionace glauca,ATL_N,8.55E-05,6.31E-05,90,14.14213562
S57,PGL,Prionace glauca,ATL_N,0.000189979,0.000246715,88.19444444,9.722222222
S58,PGL,Prionace glauca,ATL_N,0.000147248,9.68E-05,100,0
S59,PGL,Prionace glauca,ATL_N,0.000158859,0.000199094,75.33333333,37.08848279
S60,PGL,Prionace glauca,ATL_N,0.000375904,0.000633383,96.42857143,7.142857143
S61,PGL,Prionace glauca,ATL_N,0.000251981,0.000294125,75.66666667,35.97066706
S62,PGL,Prionace glauca,ATL_N,0.000432728,0.000556485,85.71428571,28.34733548
S63,PGL,Prionace glauca,ATL_N,9.66E-05,0.000168942,68.5974026,34.96889204
S64,PGL,Prionace glauca,ATL_N,9.32E-05,0.000174021,42.22222222,51.7830231
S65,PGL,Prionace glauca,ATL_N,0.000342364,0.000461544,100,0
S66,PGL,Prionace glauca,ATL_N,0.000201791,0.000326008,64.76190476,38.81025416
S67,PGL,Prionace glauca,ATL_N,4.97E-05,8.38E-05,54.85714286,37.05484077
S68,PGL,Prionace glauca,ATL_N,0.000238451,0.000230336,100,0
S69,PGL,Prionace glauca,ATL_N,0.000168769,0.00023632,71.875,48.27762594
S70,PGL,Prionace glauca,ATL_N,0.000164803,0.00024021,75,35.35533906
S71,PGL,Prionace glauca,ATL_N,0.000170297,0.000497476,47.46031746,31.29939784
S72,PGL,Prionace glauca,ATL_N,0,0,0,0
S73,PGL,Prionace glauca,ATL_N,9.77E-05,0.000191896,38.51851852,33.43195288
S74,PGL,Prionace glauca,ATL_N,0.00115428,0.001029595,100,0
S75,PGL,Prionace glauca,ATL_N,4.73E-05,0.000127216,47.61904762,50.16977978
S76,PGL,Prionace glauca,ATL_N,4.32E-05,7.18E-05,55.84415584,1.83664099
S77,PGL,Prionace glauca,ATL_N,0.000344333,0.000786926,53.33333333,50.33222957
S78,PGL,Prionace glauca,ATL_N,0.000252507,0.000522544,67.85714286,36.2460413
S79,PGL,Prionace glauca,ATL_N,0.000161824,0.000273903,80,28.28427125
S80,PGL,Prionace glauca,ATL_N,0,0,0,NA
S81,PGL,Prionace glauca,ATL_N,0,0,0,0
S82,PGL,Prionace glauca,ATL_N,1.43E-05,4.04E-05,7.142857143,10.10152545
S83,PGL,Prionace glauca,ATL_N,0.00133175,NA,100,NA
S84,PGL,Prionace glauca,ATL_N,3.46E-05,9.21E-05,25.24509804,7.0422558
S85,PGL,Prionace glauca,ATL_N,0.001204756,0.001129931,100,0
S86,PGL,Prionace glauca,ATL_N,0.000422727,0.000754533,92.12962963,6.851226198
S87,PGL,Prionace glauca,ATL_N,0.001078137,0.000848409,100,0
S88,PGL,Prionace glauca,ATL_N,5.63E-05,0.000115846,58.33333333,58.9255651
S89,PGL,Prionace glauca,ATL_N,0.000255848,0.000333057,100,0
S90,PGL,Prionace glauca,ATL_N,0.000262283,0.000292225,100,0
S91,PGL,Prionace glauca,ATL_N,0.000747095,0.001062068,97.77777778,4.96903995
S92,PGL,Prionace glauca,ATL_N,0.000167923,0.000232535,72.44444444,30.58483446
S93,PGL,Prionace glauca,ATL_N,1.66E-05,3.22E-05,28,43.8178046
S94,PGL,Prionace glauca,ATL_N,0.000169021,0.000191695,76,35.77708764
S95,PGL,Prionace glauca,ATL_N,0.000590027,0.000744425,85,30
S96,PGL,Prionace glauca,ATL_N,0.000311147,0.000325533,90.83333333,10.67187373
S97,PGL,Prionace glauca,ATL_N,0.001100008,0.000969638,100,0
S98,PGL,Prionace glauca,ATL_N,0.000136849,0.000151992,79.96753247,18.93266423
S99,PGL,Prionace glauca,ATL_N,0.001074841,0.000918301,100,0
S100,PGL,Prionace glauca,ATL_N,6.02E-05,0.000124958,38.18181818,43.31319727
S101,PGL,Prionace glauca,ATL_N,0.000560673,0.000792814,92.38095238,13.56933986
S102,PGL,Prionace glauca,ATL_N,0.000800024,0.001008119,97.14285714,6.38876565
S103,PGL,Prionace glauca,ATL_N,0.000482811,0.000676966,62.22222222,51.87830013
S104,PGL,Prionace glauca,ATL_N,0.000231026,0.000560699,49.13419913,42.40491211
S105,PGL,Prionace glauca,ATL_N,0.000248079,0.000534227,68.54497354,32.40686211
S106,PGL,Prionace glauca,ATL_N,0.000509869,0.000817921,93.33333333,14.90711985
S107,PGL,Prionace glauca,ATL_N,0.000762491,0.001063,94.16666667,8.149487187
S108,PGL,Prionace glauca,ATL_N,5.52E-05,8.85E-05,65,49.49747468
S109,PGL,Prionace glauca,ATL_N,0.000808905,0.001530728,81.17878347,22.28906749
S110,PGL,Prionace glauca,ATL_N,0.00057301,0.000914752,76.62660256,25.73309791
S111,PGL,Prionace glauca,ATL_N,0.000608224,0.000942656,74.82954545,37.60623882
S112,PGL,Prionace glauca,ATL_N,0.000393257,0.000694146,61.64502165,33.40558509
S113,PGL,Prionace glauca,ATL_N,0.000272231,0.000443543,90.96590909,12.62584235
S114,PGL,Prionace glauca,ATL_N,0.000283748,0.000442595,88.13186813,16.26967519
S115,PGL,Prionace glauca,ATL_N,0.000244462,0.000268175,92.85714286,17.49635531
S116,PGL,Prionace glauca,ATL_N,0.000249342,0.000303969,100,0
S117,PGL,Prionace glauca,ATL_N,0.000138935,0.000231072,91.66666667,14.43375673
S118,PGL,Prionace glauca,ATL_N,0.000344163,0.000594801,80.83333333,27.57565351
S119,PGL,Prionace glauca,ATL_N,0.000552379,0.000752392,97.5,7.071067812
S120,PGL,Prionace glauca,ATL_N,0.000760584,0.00143912,98.41269841,4.761904762
S121,PGL,Prionace glauca,ATL_N,0.000124728,0.000177919,75,35.35533906
S122,PGL,Prionace glauca,ATL_N,0.000780593,0.002160949,63.01152519,16.98349868
S123,PGL,Prionace glauca,ATL_N,0.000233177,0.000572147,54.08633034,34.76430226
S124,PGL,Prionace glauca,ATL_N,0.000595343,0.001121692,72.58080324,35.61430518
S125,PGL,Prionace glauca,ATL_N,0.00017599,0.000193907,97.5,5
S126,PGL,Prionace glauca,ATL_N,0.000423564,0.000691988,93.7654321,9.991422933
S127,PGL,Prionace glauca,ATL_N,0.000248166,0.000385415,94.46153846,8.743552147
S128,PGL,Prionace glauca,ATL_N,0.000167081,0.000191811,100,0
S129,PGL,Prionace glauca,ATL_N,0.000237344,0.000315209,90.47619048,14.6771762
S130,PGL,Prionace glauca,ATL_N,0.000255405,0.000660499,66.66666667,28.86751346
S131,PGL,Prionace glauca,ATL_N,0.00017232,0.000209355,100,0
S132,PGL,Prionace glauca,ATL_N,0.000343436,0.000417376,90.76923077,19.33816168
S133,PGL,Prionace glauca,ATL_N,0.000158818,0.000220161,79.28613054,33.53708364
S134,PGL,Prionace glauca,ATL_N,0.000135087,0.000144205,89.74358974,15.80618975
S135,PGL,Prionace glauca,ATL_N,0.000290556,0.000541553,100,0
S136,PGL,Prionace glauca,ATL_N,0.000712047,0.001583201,50.14708488,37.600773
S137,PGL,Prionace glauca,ATL_N,0.000435061,0.000607103,50,70.71067812
S138,PGL,Prionace glauca,ATL_N,0.000712717,0.001156846,66.66666667,57.73502692
S139,PGL,Prionace glauca,ATL_N,0.000484021,0.000713717,68.18181818,47.2377493
S140,PGL,Prionace glauca,ATL_N,0.000574492,0.000817789,88.88888889,19.24500897
S141,PGL,Prionace glauca,ATL_N,0.000156963,0.000327304,50,50
S142,PGL,Prionace glauca,ATL_N,0.000612824,0.000592476,100,0
S143,PGL,Prionace glauca,ATL_N,2.39E-07,1.22E-06,2.941176471,4.159451654
S144,PGL,Prionace glauca,ATL_N,0.000112558,0.000375228,40,24.0370085
S145,PGL,Prionace glauca,ATL_N,0.000558722,0.000958231,81.25,23.93567769
S146,PGL,Prionace glauca,ATL_N,0.000434901,0.000884517,52.38095238,17.16929179
S147,PGL,Prionace glauca,ATL_N,0.000820964,0.000645779,100,0
S148,PGL,Prionace glauca,ATL_N,0.000113769,0.000146995,37.5,53.03300859
S149,PGL,Prionace glauca,ATL_N,0.000219578,0.000222008,100,NA
S150,PGL,Prionace glauca,ATL_N,0.000178178,0.000223194,75,NA
S151,PGL,Prionace glauca,ATL_N,0.000706593,0.000582599,100,NA
S152,PGL,Prionace glauca,ATL_N,0.000182321,0.000322844,45.83333333,40.18187817
S153,PGL,Prionace glauca,ATL_N,0.000102937,0.00029174,38.0952381,54.08484139
S154,PGL,Prionace glauca,ATL_N,0.000241451,0.000130496,100,NA
S155,PGL,Prionace glauca,ATL_N,0.000225025,0.000241703,75,35.35533906
S156,PGL,Prionace glauca,ATL_N,8.10E-05,0.00015963,62.5,NA
S157,PGL,Prionace glauca,ATL_N,0.000133877,0.000106057,100,NA
S158,PGL,Prionace glauca,ATL_N,0.000624235,0.000603194,100,NA
S159,PGL,Prionace glauca,ATL_N,0.000123818,0.000396143,30.55555556,47.46668747
S160,PGL,Prionace glauca,ATL_N,0.00023241,0.00040913,68.75,44.19417382
S161,PGL,Prionace glauca,ATL_N,0.00137437,0.003010678,75,50
S162,PGL,Prionace glauca,ATL_N,0.000600864,0.000583657,100,0
S163,PGL,Prionace glauca,ATL_N,0.000236479,0.000465892,60,27.01095772
S164,PGL,Prionace glauca,ATL_N,0.000155368,0.000274042,33.33333333,31.18047822
S165,PGL,Prionace glauca,ATL_N,0.000370138,0.000781926,54.54417293,32.23809195
S166,PGL,Prionace glauca,ATL_N,0.000209174,0.00051816,32.69823865,28.84976251
S167,PGL,Prionace glauca,ATL_N,0.000131061,0.000339578,25,29.22172933
S168,PGL,Prionace glauca,ATL_N,9.08E-05,0.000137493,48.33333333,27.53785274
S169,PGL,Prionace glauca,PAC_NE,7.32E-05,0.000308634,21.42857143,28.40560344
S170,PGL,Prionace glauca,PAC_NE,8.31E-05,0.00060393,9.38871408,11.08082341
S171,PGL,Prionace glauca,PAC_NE,0,0,0,0
S172,PGL,Prionace glauca,PAC_NE,0,0,0,0
S173,PGL,Prionace glauca,PAC_NE,0,0,0,0
S174,PGL,Prionace glauca,PAC_NE,6.10E-05,0.000115296,35.51282051,46.2507885
S175,PGL,Prionace glauca,PAC_NE,0,0,0,0
S176,PGL,Prionace glauca,PAC_NE,0,0,0,0
S177,PGL,Prionace glauca,PAC_NE,0,0,0,0
S178,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S179,PGL,Prionace glauca,PAC_NE,6.86E-06,3.43E-05,1.515151515,3.711348095
S180,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S181,PGL,Prionace glauca,PAC_NE,1.32E-05,5.27E-05,5.555555556,9.622504486
S182,PGL,Prionace glauca,PAC_NE,7.18E-05,0.000200489,36.66666667,41.49966533
S183,PGL,Prionace glauca,PAC_NE,0,0,0,0
S184,PGL,Prionace glauca,PAC_NE,4.52E-06,1.95E-05,10.55555556,0.785674201
S185,PGL,Prionace glauca,PAC_NE,0,0,0,0
S186,PGL,Prionace glauca,PAC_NE,1.08E-08,5.81E-08,2.083333333,4.166666667
S187,PGL,Prionace glauca,PAC_NE,5.75E-06,3.04E-05,9.428571429,17.36757476
S188,PGL,Prionace glauca,PAC_NE,4.01E-05,8.69E-05,35.75757576,45.65209596
S189,PGL,Prionace glauca,PAC_NE,3.13E-06,1.98E-05,5,10
S190,PGL,Prionace glauca,PAC_NE,4.96E-08,2.10E-07,3.03030303,5.248638811
S191,PGL,Prionace glauca,PAC_NE,7.67E-07,2.87E-06,5.555555556,7.856742013
S192,PGL,Prionace glauca,PAC_NE,0,0,0,0
S193,PGL,Prionace glauca,PAC_NE,0,0,0,0
S194,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S195,PGL,Prionace glauca,PAC_NE,0.000199841,0.00045074,46.51727358,45.14167808
S196,PGL,Prionace glauca,PAC_NE,1.04E-05,4.81E-05,20.95238095,30.76500058
S197,PGL,Prionace glauca,PAC_NE,5.61E-05,0.000262534,18,24.8997992
S198,PGL,Prionace glauca,PAC_NE,6.10E-06,2.28E-05,16.5625,34.56199141
S199,PGL,Prionace glauca,PAC_NE,1.73E-06,8.78E-06,20,44.72135955
S200,PGL,Prionace glauca,PAC_NE,9.66E-05,0.000358647,33.33333333,46.39803636
S201,PGL,Prionace glauca,PAC_NE,2.48E-05,0.00012893,7.638888889,15.97437874
S202,PGL,Prionace glauca,PAC_NE,2.89E-06,2.71E-05,2.272727273,7.537783614
S203,PGL,Prionace glauca,PAC_NE,1.63E-06,7.44E-06,18.18181818,40.24717022
S204,PGL,Prionace glauca,PAC_NE,0,0,0,0
S205,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S206,PGL,Prionace glauca,PAC_NE,3.17E-05,8.69E-05,15.15873016,14.01979129
S207,PGL,Prionace glauca,PAC_NE,6.35E-06,2.96E-05,4.323308271,9.326162753
S208,PGL,Prionace glauca,PAC_NE,1.75E-05,4.13E-05,20,28.77716108
S209,PGL,Prionace glauca,PAC_NE,4.28E-07,7.41E-07,33.33333333,NA
S210,PGL,Prionace glauca,PAC_NE,1.63E-05,3.22E-05,40,NA
S211,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S212,PGL,Prionace glauca,PAC_NE,4.79E-08,2.44E-07,1.428571429,3.194382825
S213,PGL,Prionace glauca,PAC_NE,0.0002336,0.000946103,19.90740741,35.56962579
S214,PGL,Prionace glauca,PAC_NE,0,0,0,0
S215,PGL,Prionace glauca,PAC_NE,3.43E-05,4.84E-05,50,NA
S216,PGL,Prionace glauca,PAC_NE,4.83E-05,1.81E-05,100,NA
S217,PGL,Prionace glauca,PAC_NE,0,0,0,0
S218,PGL,Prionace glauca,PAC_NE,0.000139725,0.000131115,100,NA
S219,PGL,Prionace glauca,PAC_NE,4.94E-06,2.57E-05,3.333333333,7.453559925
S220,PGL,Prionace glauca,PAC_NE,2.44E-06,1.32E-05,7.804232804,12.09829462
S221,PGL,Prionace glauca,PAC_NE,1.82E-06,1.11E-05,8.333333333,16.66666667
S222,PGL,Prionace glauca,PAC_NE,7.05E-06,3.01E-05,15,30
S223,PGL,Prionace glauca,PAC_NE,3.04E-06,5.27E-06,33.33333333,NA
S224,PGL,Prionace glauca,PAC_NE,1.77E-06,6.40E-06,9.722222222,8.673608331
S225,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S226,PGL,Prionace glauca,PAC_NE,3.46E-06,NA,100,NA
S227,PGL,Prionace glauca,PAC_NE,5.21E-06,2.02E-05,6.25,8.838834765
S228,PGL,Prionace glauca,PAC_NE,5.42E-06,2.15E-05,12.5,0
S229,PGL,Prionace glauca,PAC_NE,0,0,0,0
S230,PGL,Prionace glauca,PAC_NE,3.42E-05,9.57E-05,12.86463708,17.80138664
S231,PGL,Prionace glauca,PAC_NE,3.51E-05,8.47E-05,35,45.66382797
S232,PGL,Prionace glauca,PAC_NE,2.66E-05,8.34E-05,19.44444444,17.34721666
S233,PGL,Prionace glauca,PAC_NE,0,0,0,0
S234,PGL,Prionace glauca,PAC_NE,0,0,0,0
S235,PGL,Prionace glauca,PAC_NE,1.26E-05,3.77E-05,6.25,8.838834765
S236,PGL,Prionace glauca,PAC_NE,0,0,0,0
S237,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S238,PGL,Prionace glauca,PAC_NE,0,0,0,0
S239,PGL,Prionace glauca,PAC_NE,0,0,0,0
S240,PGL,Prionace glauca,PAC_NE,0,0,0,0
S241,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S242,PGL,Prionace glauca,PAC_NE,7.82E-05,0.00016854,37.18253968,35.77206525
S243,PGL,Prionace glauca,PAC_NE,1.01E-05,3.26E-05,18.75,37.5
S244,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S245,PGL,Prionace glauca,PAC_NE,0.000815181,NA,100,NA
S246,PGL,Prionace glauca,PAC_NE,0,0,0,0
S247,PGL,Prionace glauca,PAC_NE,0,0,0,0
S248,PGL,Prionace glauca,PAC_NE,0,0,0,0
S249,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S250,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S251,PGL,Prionace glauca,PAC_NE,7.13E-06,4.20E-05,16.19047619,28.88714455
S252,PGL,Prionace glauca,PAC_NE,2.57E-05,0.000131999,8.333333333,17.81741613
S253,PGL,Prionace glauca,PAC_NE,0,0,0,0
S254,PGL,Prionace glauca,PAC_NE,0.001262444,NA,100,NA
S255,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S256,PGL,Prionace glauca,PAC_NE,9.75E-06,1.34E-05,66.66666667,NA
S257,PGL,Prionace glauca,PAC_NE,0,0,0,NA
S258,PGL,Prionace glauca,PAC_NE,4.60E-05,4.61E-05,100,NA
S259,PGL,Prionace glauca,PAC_NE,9.10E-06,4.31E-05,8.333333333,12.90994449
S260,PGL,Prionace glauca,PAC_NE,1.67E-05,0.000101198,3.703703704,11.11111111
S261,PGL,Prionace glauca,PAC_NE,3.25E-07,1.56E-06,4.761904762,8.247860988
S262,PGL,Prionace glauca,PAC_NE,8.80E-06,3.52E-05,25,50
S263,PGL,Prionace glauca,PAC_NE,0,0,0,0
S264,PGL,Prionace glauca,PAC_NE,0,0,0,0
S265,PGL,Prionace glauca,PAC_NE,0,0,0,0
S266,PGL,Prionace glauca,PAC_NE,0,0,0,0
S267,PGL,Prionace glauca,PAC_NE,0,0,0,0
S268,PGL,Prionace glauca,PAC_NE,0,0,0,0
S269,PGL,Prionace glauca,PAC_NE,7.67E-07,3.44E-06,5.238095238,6.801360408
S270,PGL,Prionace glauca,PAC_NE,1.65E-06,4.37E-06,10,14.14213562
S271,PGL,Prionace glauca,PAC_NE,0,0,0,0
S272,PGL,Prionace glauca,PAC_NE,0,0,0,0
S273,PGL,Prionace glauca,PAC_NE,3.21E-05,0.000101659,11.11111111,20.18433569
S274,PGL,Prionace glauca,PAC_NE,7.58E-05,0.00017681,56.92307692,49.99408249
S275,PGL,Prionace glauca,PAC_NE,0,0,0,0
S276,PGL,Prionace glauca,PAC_NE,0,0,0,0
S277,PGL,Prionace glauca,PAC_NE,0,0,0,0
S278,PGL,Prionace glauca,PAC_NE,1.36E-06,8.52E-06,1.5625,3.125
S279,PGL,Prionace glauca,PAC_NE,1.35E-05,8.04E-05,7.366071429,18.0674507
S280,PGL,Prionace glauca,PAC_NE,0.000118127,0.000862599,5,14.14213562
S1397,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1398,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1399,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1400,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1401,CLE,Carcharhinus leucas,ATL_N,0,NA,0,NA
S1402,CLE,Carcharhinus leucas,ATL_N,0,NA,0,NA
S1403,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1404,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1405,CLE,Carcharhinus leucas,IND_SW,0.000237053,0.000478601,81.21693122,16.2714543
S1406,CLE,Carcharhinus leucas,IND_SW,0.006642302,0.005079143,100,0
S1407,CLE,Carcharhinus leucas,IND_SW,0.001498807,0.0015578,100,0
S1408,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1409,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1410,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1411,CLE,Carcharhinus leucas,ATL_N,0,NA,0,NA
S1412,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1413,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1414,CLE,Carcharhinus leucas,ATL_N,0,NA,0,NA
S1415,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1416,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1417,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1418,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1419,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1420,CLE,Carcharhinus leucas,ATL_N,8.55E-06,1.82E-05,15,22.36067977
S1421,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1422,CLE,Carcharhinus leucas,ATL_N,0,NA,0,NA
S1423,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1424,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1425,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1426,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1427,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1428,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1429,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1430,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1431,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1432,CLE,Carcharhinus leucas,ATL_N,0,0,0,NA
S1433,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1434,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1435,CLE,Carcharhinus leucas,ATL_N,0,0,0,NA
S1436,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1437,CLE,Carcharhinus leucas,ATL_N,0,0,0,0
S1545,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1546,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1547,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1548,SPH,Sphyrna lewini,PAC_NE,1.76E-06,5.83E-06,5,7.071067812
S1549,SPH,Sphyrna lewini,PAC_NE,3.83E-07,1.27E-06,5,7.071067812
S1550,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1551,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1552,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1553,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1554,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1555,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1556,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1557,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1558,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1559,SPH,Sphyrna lewini,OTHER,3.13E-05,4.40E-05,100,0
S1560,SPH,Sphyrna lewini,OTHER,2.02E-06,2.37E-06,50,NA
S1561,SPH,Sphyrna lewini,OTHER,0,0,0,0
S1562,SPH,Sphyrna lewini,OTHER,0,0,0,NA
S1563,SPH,Sphyrna lewini,OTHER,0,0,0,NA
S1564,SPH,Sphyrna lewini,ATL_N,8.46E-06,2.42E-05,4.166666667,8.333333333
S1565,SPH,Sphyrna lewini,ATL_N,0,0,0,0
S1566,SPH,Sphyrna lewini,ATL_N,2.37E-05,5.05E-05,45.45454545,NA
S1567,SPH,Sphyrna lewini,ATL_N,0,0,0,0
S1568,SPH,Sphyrna lewini,ATL_N,0,0,0,0
S1569,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1570,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1571,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1572,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1573,SPH,Sphyrna lewini,PAC_NE,0,0,0,0
S1574,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
S1575,SPH,Sphyrna lewini,PAC_NE,0,0,0,NA
